Incident_ID,Incident_Date,State,City Or County,Address,Latitude,Longitude,Killed,Injured,Operations,label_col
573238,06/05/16,Missouri,Florissant,4200 block of Cloverfield Trail,38.7816012,-90.2642122,0,1,N/A,Killed: 0 Injured:1
827893,06/03/16,Oregon,Coos Bay,Terramar Rd,43.3426663,-124.2981894,0,0,N/A,Killed: 0 Injured:0
571791,06/03/16,Ohio,Hillsboro,Trenton Street,39.1969913,-83.599612,2,0,N/A,Killed: 2 Injured:0
571874,06/03/16,Colorado,Aurora,1575 Galena Street,39.7415243,-104.8695652,1,0,N/A,Killed: 1 Injured:0
570135,06/01/16,Texas,San Antonio,800 block of Pecan Valley Drive,29.407475,-98.432719,1,1,N/A,Killed: 1 Injured:1
570142,06/01/16,Texas,San Antonio,5500 block of San Fernando Street,29.426109,-98.568088,1,1,N/A,Killed: 1 Injured:1
567793,05/29/16,Ohio,Sandusky,219 Center Street,41.4486671,-82.7087262,0,1,N/A,Killed: 0 Injured:1
568509,05/28/16,Texas,Lubbock,300 block of Waco,33.5778631,-101.8551665,0,2,N/A,Killed: 0 Injured:2
566861,05/27/16,New York,Brooklyn,532 Albany Avenue,40.661782,-73.9402559,0,0,N/A,Killed: 0 Injured:0
567262,05/27/16,Alabama,Huntsville,3300 block of Lockwood Ct,34.6938255,-86.6123848,1,0,N/A,Killed: 1 Injured:0
572676,05/27/16,Ohio,Wellington,East Herrick and Grand,41.1684508,-82.205317,0,0,N/A,Killed: 0 Injured:0
566832,05/27/16,Ohio,Cleveland,1700 block of North Taylor Road,41.5389662,-81.5728389,0,2,N/A,Killed: 0 Injured:2
566573,05/27/16,Indiana,Charlestown,Marcy St,38.4479442,-85.6730024,0,0,N/A,Killed: 0 Injured:0
566863,05/27/16,New York,Wallkill,559 Fifth Avenue,41.4801871,-74.3157857,3,0,N/A,Killed: 3 Injured:0
566804,05/27/16,Indiana,Indianapolis (Cumberland),500 block of Wickerwood Drive,39.7791518,-85.9602019,1,0,N/A,Killed: 1 Injured:0
566171,05/26/16,Virginia,Roanoke,2000 block of Carroll Avenue NW,37.2896716,-79.9680202,1,0,N/A,Killed: 1 Injured:0
566159,05/26/16,Georgia,Atlanta,500 Park Valley Dr NW,33.7685653,-84.4628766,0,2,N/A,Killed: 0 Injured:2
566168,05/25/16,Michigan,Detroit,16400 block of Fairmount,42.331427,-83.0457538,1,0,N/A,Killed: 1 Injured:0
564952,05/24/16,Missouri,Saint Louis,Hall St and Riverview Dr,38.7278941,-90.2227089,1,0,N/A,Killed: 1 Injured:0
565148,05/24/16,South Carolina,Bennettsville,Mill Street,34.6216062,-79.6913061,0,1,N/A,Killed: 0 Injured:1
566491,05/23/16,Indiana,South Bend,East Indiana Avenue,41.6581819,-86.238614,0,0,N/A,Killed: 0 Injured:0
564268,05/23/16,Ohio,Toledo,500 Chicago St,41.6734926,-83.5074963,0,0,N/A,Killed: 0 Injured:0
564626,05/23/16,North Carolina,Shelby,Toms Street,35.3015437,-81.5250286,0,1,N/A,Killed: 0 Injured:1
563635,05/22/16,Alabama,Birmingham,Five Mile Road,33.6082369,-86.7001629,0,2,N/A,Killed: 0 Injured:2
563088,05/21/16,Colorado,Denver,1800 block of West Mississippi Avenue,39.6967306,-105.008737,0,1,N/A,Killed: 0 Injured:1
563086,05/21/16,Louisiana,La Place (Laplace),19 Country Club Dr,30.0866043,-90.4892089,1,0,N/A,Killed: 1 Injured:0
563324,05/21/16,Washington,Vancouver,9711 NE 115th Ct.,45.6926545,-122.5543377,0,2,N/A,Killed: 0 Injured:2
563091,05/20/16,Illinois,Barry,186 E 2700th St,39.7843908,-90.9919448,1,0,N/A,Killed: 1 Injured:0
563093,05/20/16,Alabama,Horton,Welcome Home Church Road,34.1802276,-86.3545886,1,0,N/A,Killed: 1 Injured:0
561245,05/18/16,Texas,Houston,9560 Deering Drive,29.6790468,-95.5506948,0,3,N/A,Killed: 0 Injured:3
561032,05/17/16,Texas,Beaumont,Pipkin Street,30.0504842,-94.0929936,0,1,N/A,Killed: 0 Injured:1
565286,05/17/16,Texas,Bellevue,4700 block of Buffalo Springs Rd,33.5578333,-98.1399448,1,0,N/A,Killed: 1 Injured:0
560129,05/15/16,Tennessee,Memphis,1400 block of Dewees Drive,35.0226882,-90.0148724,0,1,N/A,Killed: 0 Injured:1
558941,05/14/16,District of Columbia,Washington,2525 12th Pl SE,38.8515498,-76.9853227,0,1,N/A,Killed: 0 Injured:1
559313,05/14/16,Louisiana,Baton Rouge,4000 block of Denham Street,30.5042754,-91.1505141,0,1,N/A,Killed: 0 Injured:1
559237,05/14/16,Florida,Avon Park,Fred Connor Street,27.5837313,-81.4960933,0,2,N/A,Killed: 0 Injured:2
558946,05/13/16,Ohio,Cleveland,7900 block of Golden Avenue,41.49932,-81.6943605,0,1,N/A,Killed: 0 Injured:1
558457,05/13/16,Illinois,Manhattan,400 block of Fairview Drive,41.4309384,-87.9980961,0,0,N/A,Killed: 0 Injured:0
557852,05/12/16,Ohio,Hilliard,5100 block of Scioto Darby Road,40.0248194,-83.1515493,1,0,N/A,Killed: 1 Injured:0
558217,05/12/16,North Carolina,Asheville,Ira Jones School Road and Otarri Road,35.6279789,-82.5501769,1,1,N/A,Killed: 1 Injured:1
558314,05/11/16,South Carolina,Columbia,4300 block of Mellowood Dr,33.9363288,-80.9696564,0,1,N/A,Killed: 0 Injured:1
557589,05/11/16,Alabama,Birmingham,1400 block of 21st St N,33.5312668,-86.8142868,1,4,N/A,Killed: 1 Injured:4
556993,05/10/16,Michigan,Detroit,19700 block of Oakfield Street,42.4356399,-83.214993,1,0,N/A,Killed: 1 Injured:0
556953,05/10/16,Georgia,Decatur,3841 Kensington Road,33.7683195,-84.2364619,0,3,N/A,Killed: 0 Injured:3
556165,05/08/16,Indiana,Batesville,Columbus Avenue,39.3037585,-85.2367895,0,0,N/A,Killed: 0 Injured:0
556020,05/08/16,Maryland,Baltimore,400 block of North Bend Road,39.2838827,-76.7075394,0,1,N/A,Killed: 0 Injured:1
555139,05/08/16,Michigan,Detroit,17600 block of Faust,42.331427,-83.0457538,0,1,N/A,Killed: 0 Injured:1
