Incident ID,Incident Date,State,City Or County,Address,Full Address,Latitude,Longitude,Killed,Injured,Operations,label_col,Classification
495785,29-Jan-16,Tennessee,Whites Creek,7277 W Old Hickory Blvd,Tennessee Whites Creek 7277 W Old Hickory Blvd,36.2763875,-86.8186141,1,0,School Incidents,Killed: 1 Injured:0,School_elementary/secondary
484812,13-Jan-16,New Hampshire,Epping,233 Exeter Road,New Hampshire Epping 233 Exeter Road,43.0217532,-71.0382159,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
485036,13-Jan-16,Arkansas,Camden,401 Ouachita 88,Arkansas Camden 401 Ouachita 88,33.5370551,-92.820845,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
484540,13-Jan-16,California,Arcata,Harpst St and Rossow St,California Arcata Harpst St and Rossow St,40.8741927,-124.0796454,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
460666,4-Dec-15,Kansas,Wichita,820 S. Osage Street,Kansas Wichita 820 S. Osage Street,37.673559,-97.3469296,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
459095,4-Dec-15,Massachusetts,Springfield,Plainfield Street,Massachusetts Springfield Plainfield Street,42.118102,-72.613667,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
459322,3-Dec-15,Georgia,Augusta,1235 15th Street,Georgia Augusta 1235 15th Street,33.4682106,-81.993618,0,0,School Incidents,Killed: 0 Injured:0,School_University/college
458776,3-Dec-15,Texas,Fort Worth,4501 West Freeway,Texas Fort Worth 4501 West Freeway,32.7314671,-97.3856772,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
457864,1-Dec-15,Wisconsin,Milwaukee,4151 North 56th,Wisconsin Milwaukee 4151 North 56th,43.0924312,-87.983374800000007,0,0,School Incidents,Killed: 0 Injured:0,School_University/college
458722,1-Dec-15,Georgia,Marietta,2451 Favor Road SW,Georgia Marietta 2451 Favor Road SW,33.8919158,-84.5657024,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
456291,30-Nov-15,Louisiana,Kenner,3315 Maine Avenue,Louisiana Kenner 3315 Maine Avenue,30.0163039,-90.2298894,0,2,School Incidents,Killed: 0 Injured:2,School_elementary/secondary
460684,27-Nov-15,New York,Canton,34 Cornell Drive,New York Canton 34 Cornell Drive,44.6013495,-75.1831272,0,0,School Incidents,Killed: 0 Injured:0,School_University/college
450458,18-Nov-15,New York,Ronkonkoma,Pond Road and Peconic Street,New York Ronkonkoma Pond Road and Peconic Street,40.8012481,-73.1190622,0,2,School Incidents,Killed: 0 Injured:2,School_elementary/secondary
449051,16-Nov-15,Pennsylvania,Pittsburgh,7100 block of McPherson Boulevard,Pennsylvania Pittsburgh 7100 block of McPherson Boulevard,40.452544,-79.9016509,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
447975,13-Nov-15,Idaho,Idaho Falls,W 17th St,Idaho Idaho Falls W 17th St,43.4826876,-112.0392959,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
445637,11-Nov-15,Arkansas,Sulphur Rock,480 N Main St,Arkansas Sulphur Rock 480 N Main St,35.7566434,-91.5007913,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
445105,10-Nov-15,Florida,Lecanto,3810 W Educational Path,Florida Lecanto 3810 W Educational Path,28.8242574,-82.4991323,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
445228,9-Nov-15,South Carolina,Spartanburg,1000 Powell Mill Road,South Carolina Spartanburg 1000 Powell Mill Road,34.9551165,-81.9708637,1,0,School Incidents,Killed: 1 Injured:0,School_University/college
443097,6-Nov-15,Illinois,Chicago,70th and Washtenaw,Illinois Chicago 70th and Washtenaw,41.7663915,-87.6906202,0,3,School Incidents,Killed: 0 Injured:3,School_elementary/secondary
445777,5-Nov-15,Georgia,Moultrie,60 Greenwood Avenue,Georgia Moultrie 60 Greenwood Avenue,31.1759881,-83.8044982,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
443033,4-Nov-15,Nebraska,Omaha,12801 L St,Nebraska Omaha 12801 L St,41.2112001,-96.1140201,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
441947,3-Nov-15,Washington,Tacoma,North Alder Street,Washington Tacoma North Alder Street,47.2662652,-122.4777558,0,0,School Incidents,Killed: 0 Injured:0,School_University/college
440110,1-Nov-15,North Carolina,Winston Salem,601 S Martin Luther King Jr Dr,North Carolina Winston Salem 601 S Martin Luther King Jr Dr,36.0915688,-80.2245285,1,1,School Incidents,Killed: 1 Injured:1,School_University/college
439546,29-Oct-15,New Jersey,Pleasantville,618 Fernwood Ave,New Jersey Pleasantville 618 Fernwood Ave,39.3864891,-74.5422316,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
556487,29-Oct-15,New York,Binghamton,907 Upper Front Street,New York Binghamton 907 Upper Front Street,42.1599958,-75.8935866,0,0,School Incidents,Killed: 0 Injured:0,School_University/college
436546,25-Oct-15,North Carolina,Durham,East Lawson Street,North Carolina Durham East Lawson Street,35.9747274,-78.8914387,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
435526,23-Oct-15,Connecticut,West Hartford,Barksdale Road,Connecticut West Hartford Barksdale Road,41.7943922,-72.7613636,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
435144,22-Oct-15,Tennessee,Nashville,3500 John A. Merritt Blvd,Tennessee Nashville 3500 John A. Merritt Blvd,36.1683042,-86.8256033,1,3,School Incidents,Killed: 1 Injured:3,School_University/college
530790,11-Oct-15,Florida,Tampa,Holly Drive,Florida Tampa Holly Drive,28.1337693,-82.3574288,0,0,School Incidents,Killed: 0 Injured:0,School_University/college
427967,9-Oct-15,California,Upland,1045 W 18th St,California Upland 1045 W 18th St,34.129428,-117.6661614,0,2,School Incidents,Killed: 0 Injured:2,School_elementary/secondary
427706,9-Oct-15,Texas,Houston,3445 Blodgett Street,Texas Houston 3445 Blodgett Street,29.718756,-95.358986,1,1,School Incidents,Killed: 1 Injured:1,School_University/college
427621,9-Oct-15,Arizona,Flagstaff,216 E Mountain View Dr,Arizona Flagstaff 216 E Mountain View Dr,35.1886126,-111.649909,1,3,School Incidents,Killed: 1 Injured:3,School_University/college
426509,6-Oct-15,Texas,Houston,3100 Cleburne St,Texas Houston 3100 Cleburne St,29.7216751,-95.3598537,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
423223,1-Oct-15,Oregon,Roseburg,1140 Umpqua College Rd,Oregon Roseburg 1140 Umpqua College Rd,43.2936567,-123.3366918,10,9,School Incidents,Killed: 10 Injured:9,School_University/college
425032,1-Oct-15,Missouri,Saint Louis (University City),7401 Balson Avenue,Missouri Saint Louis (University City) 7401 Balson Avenue,38.6650945,-90.3293083,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
422583,30-Sep-15,South Dakota,Harrisburg,1300 West Willow St,South Dakota Harrisburg 1300 West Willow St,43.4313663,-96.69727,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
420558,23-Sep-15,Alabama,Gadsden,2361 School Dr.,Alabama Gadsden 2361 School Dr.,33.920309,-86.034405,1,0,School Incidents,Killed: 1 Injured:0,School_elementary/secondary
418038,19-Sep-15,New York,Buffalo,Hayes Road,New York Buffalo Hayes Road,42.9536718,-78.8204222,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
415991,18-Sep-15,Georgia,Savannah,11935 Abercorn Street,Georgia Savannah 11935 Abercorn Street,31.9781582,-81.1632048,0,0,School Incidents,Killed: 0 Injured:0,School_University/college
413540,14-Sep-15,Mississippi,Cleveland,1003 West Sunflower Road,Mississippi Cleveland 1003 West Sunflower Road,33.746706,-90.7347194,3,0,School Incidents,Killed: 3 Injured:0,School_University/college
413255,11-Sep-15,Louisiana,Lafayette,301 Dunand Drive,Louisiana Lafayette 301 Dunand Drive,30.2512615,-92.0032185,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
409067,4-Sep-15,Maryland,Lutherville Timonium,255 E Padonia Rd,Maryland Lutherville Timonium 255 E Padonia Rd,39.460064,-76.610947,0,2,School Incidents,Killed: 0 Injured:2,School_elementary/secondary
407402,3-Sep-15,Oregon,Newberg,2400 Douglas Ave.,Oregon Newberg 2400 Douglas Ave.,45.3115399,-122.9551743,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
407291,3-Sep-15,California,Sacramento,Sutterville Rd and E East Rd,California Sacramento Sutterville Rd and E East Rd,38.5386844,-121.4897215,1,2,School Incidents,Killed: 1 Injured:2,School_University/college
402974,27-Aug-15,Georgia,Savannah,3219 College St,Georgia Savannah 3219 College St,32.022662,-81.0562677,1,0,School Incidents,Killed: 1 Injured:0,School_University/college
401051,25-Aug-15,Georgia,Augusta,310 Kentucky Avenue,Georgia Augusta 310 Kentucky Avenue,33.4602492,-81.9373269,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
399012,20-Aug-15,Massachusetts,Fitchburg,Highland Avenue,Massachusetts Fitchburg Highland Avenue,42.587833,-71.788688,0,0,School Incidents,Killed: 0 Injured:0,School_University/college
398951,20-Aug-15,Texas,Weatherford,1007 S. Main St,Texas Weatherford 1007 S. Main St,32.7471232,-97.795757,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
391819,8-Aug-15,Kansas,Wichita,2221 N. Hillside,Kansas Wichita 2221 N. Hillside,37.7236944,-97.2996013,1,0,School Incidents,Killed: 1 Injured:0,School_University/college
381046,24-Jul-15,Texas,Converse,6335 Beech Trail,Texas Converse 6335 Beech Trail,29.4862089,-98.3174846,1,0,School Incidents,Killed: 1 Injured:0,School_elementary/secondary
380977,23-Jul-15,New York,Bronx,2501 Jerome Avenue,New York Bronx 2501 Jerome Avenue,40.8644448,-73.9002497,0,3,School Incidents,Killed: 0 Injured:3,School_University/college
348884,27-May-15,South Carolina,Greenwood,220 E Northside Dr,South Carolina Greenwood 220 E Northside Dr,34.2310485,-82.1721138,0,3,School Incidents,Killed: 0 Injured:3,School_elementary/secondary
346825,23-May-15,New York,Bronx,Marion Avenue and East 195th Street,New York Bronx Marion Avenue and East 195th Street,40.8652898,-73.8900523,0,0,School Incidents,Killed: 0 Injured:0,School_University/college
